line	trial_count	RT	Duration	tmin	tier	text	tmax
1	1	0,000	3040000,000	0	silences	sounding	3.040.000
2		0,000	3,040	0,000	transcription	[type_breath]	3,040
1	2	0,000	#VALUE!	0	silences	silent	0.566976
4		0,000	#VALUE!	0	transcription	?	0.566976
2		0,567	0,618	0,567	silences	sounding	1,185
5		0.566976	#VALUE!	0.566976	transcription	aguja	1.184.545
3		1184545,000	1815455,000	1.184.545	silences	silent	3.000.000
6		1184545,000	1815455,000	1.184.545	transcription	?	3.000.000
1	3	0,000	#VALUE!	0	silences	silent	0.943505
4		0,000	#VALUE!	0	transcription	[articulation, breath]	0.943505
2		0,944	0,559	0,944	silences	sounding	1,503
5		0.943505	#VALUE!	0.943505	transcription	cerdo	1.502.997
3		1502997,000	1497003,000	1.502.997	silences	silent	3.000.000
6		1502997,000	1497003,000	1.502.997	transcription	?	3.000.000
1	4	0,000	3010000,000	0	silences	sounding	3.010.000
2		0,000	3,010	0,000	transcription	[type]	3,010
1	5	0,000	#VALUE!	0	silences	silent	0.817000
4		0,000	#VALUE!	0	transcription	[articulation]	0.817000
2		0,817	0,549	0,817	silences	sounding	1,366
5		0.817000	#VALUE!	0.817000	transcription	conejo	1.366.452
3		1366452,000	1683548,000	1.366.452	silences	silent	3.050.000
6		1366452,000	1683548,000	1.366.452	transcription	?	3.050.000
1	6	0,000	3050000,000	0	silences	sounding	3.050.000
2		0,000	3,050	0,000	transcription	[type_breath]	3,050
1	7	0,000	3040000,000	0	silences	sounding	3.040.000
2		0,000	3,040	0,000	transcription	[type]	3,040
1	8	0,000	1263591,000	0	silences	silent	1.263.591
4		0,000	1263591,000	0	transcription	?	1.263.591
2		1,264	0,405	1,264	silences	sounding	1,669
5		1263591,000	405095,000	1.263.591	transcription	miel	1.668.686
3		1668686,000	1331314,000	1.668.686	silences	silent	3.000.000
6		1668686,000	1331314,000	1.668.686	transcription	?	3.000.000
1	9	0,000	3010000,000	0	silences	sounding	3.010.000
2		0,000	3,010	0,000	transcription	[type_breath]	3,010
1	10	0,000	#VALUE!	0	silences	silent	0.665574
4		0,000	#VALUE!	0	transcription	[breath, tongue]	0.665574
2		0,666	0,518	0,666	silences	sounding	1,184
5		0.665574	#VALUE!	0.665574	transcription	goma	1.183.504
3		1183504,000	1856496,000	1.183.504	silences	silent	3.040.000
6		1183504,000	1856496,000	1.183.504	transcription	?	3.040.000
1	11	0,000	#VALUE!	0	silences	silent	0.600124
4		0,000	#VALUE!	0	transcription	[tongue]	0.600124
2		0,600	0,405	0,600	silences	sounding	1,005
5		0.600124	#VALUE!	0.600124	transcription	goma	1.004.699
3		1004699,000	2005301,000	1.004.699	silences	silent	3.010.000
6		1004699,000	2005301,000	1.004.699	transcription	[breath]	3.010.000
1	12	0,000	3040000,000	0	silences	sounding	3.040.000
2		0,000	3,040	0,000	transcription	[type]	3,040
1	13	0,000	#VALUE!	0	silences	silent	0.792947
4		0,000	#VALUE!	0	transcription	?	0.792947
2		0,793	0,557	0,793	silences	sounding	1,350
5		0.792947	#VALUE!	0.792947	transcription	falda	1.349.642
3		1349642,000	1650358,000	1.349.642	silences	silent	3.000.000
