line;trial_no;RT;Duration;tmin;tier;text;tmax
1;1;0;3.05;0;silences;silent;3.05
2;;0;3.05;0;transcription;[type];3.05
1;2;0;1.172579;0;silences;silent;1.172579
4;;0;1.172579;0;transcription;?;1.172579
2;;1.172579;0.716231;1.172579;silences;sounding;1.88881
5;;1.172579;0.716231;1.172579;transcription;iglesia;1.88881
3;;1.88881;1.16119;1.88881;silences;silent;3.05
6;;1.88881;1.16119;1.88881;transcription;?;3.05
1;3;0;3.04;0;silences;sounding;3.04
2;;0;3.04;0;transcription;[type];3.04
1;4;0;3.01;0;silences;sounding;3.01
2;;0;3.01;0;transcription;[type];3.01
1;5;0;0.946749;0;silences;silent;0.946749
4;;0;0.946749;0;transcription;?;0.946749
2;;0.946749;0.672261;0.946749;silences;sounding;1.61901
5;;0.946749;0.672261;0.946749;transcription;muñeca;1.61901
3;;1.61901;1.42099;1.61901;silences;silent;3.04
6;;1.61901;1.42099;1.61901;transcription;?;3.04
1;6;0;0.599684;0;silences;silent;0.599684
4;;0;0.599684;0;transcription;?;0.599684
2;;0.599684;0.622341;0.599684;silences;sounding;1.222025
5;;0.599684;0.622341;0.599684;transcription;muñeca;1.222025
3;;1.222025;1.777975;1.222025;silences;silent;3
6;;1.222025;1.777975;1.222025;transcription;?;3
1;7;0;3;0;silences;sounding;3
2;;0;3;0;transcription;[type];3
1;8;0;0.998707;0;silences;silent;0.998707
4;;0;0.998707;0;transcription;[tongue];0.998707
2;;0.998707;0.423814;0.998707;silences;sounding;1.422521
5;;0.998707;0.423814;0.998707;transcription;traje;1.422521
3;;1.422521;1.577479;1.422521;silences;silent;3
6;;1.422521;1.577479;1.422521;transcription;?;3
1;9;0;0.889372;0;silences;silent;0.889372
4;;0;0.889372;0;transcription;?;0.889372
2;;0.889372;0.430937;0.889372;silences;sounding;1.320309
5;;0.889372;0.430937;0.889372;transcription;traje;1.320309
3;;1.320309;1.679691;1.320309;silences;silent;3
6;;1.320309;1.679691;1.320309;transcription;?;3
1;10;0;3.01;0;silences;sounding;3.01
2;;0;3.01;0;transcription;[type];3.01
1;11;0;1.825;0;silences;silent;1.825
4;;0;1.825;0;transcription;?;1.825
2;;1.825;0.415089;1.825;silences;sounding;2.240089
5;;1.825;0.415089;1.825;transcription;pulpo;2.240089
3;;2.240089;0.809911;2.240089;silences;silent;3.05
6;;2.240089;0.809911;2.240089;transcription;?;3.05
1;12;0;0.968;0;silences;silent;0.968
4;;0;0.968;0;transcription;?;0.968
2;;0.968;0.56146;0.968;silences;sounding;1.52946
5;;0.968;0.56146;0.968;transcription;cazador;1.52946
3;;1.52946;1.51054;1.52946;silences;silent;3.04
6;;1.52946;1.51054;1.52946;transcription;?;3.04
1;13;0;3.01;0;silences;sounding;3.01
2;;0;3.01;0;transcription;[type];3.01
1;14;0;3.04;0;silences;sounding;3.04
2;;0;3.04;0;transcription;[type];3.04
1;15;0;3.01;0;silences;sounding;3.01
2;;0;3.01;0;transcription;[type];3.01
1;16;0;0.643412;0;silences;silent;0.643412
4;;0;0.643412;0;transcription;?;0.643412
2;;0.643412;0.548059;0.643412;silences;sounding;1.191471
